frame,rect_id,x,y,w,h
0,0,412,46,455,604
0,1,927,0,353,657
0,2,0,0,386,631
1,0,408,47,503,604
1,1,922,0,358,658
1,2,0,0,389,631
2,0,407,47,502,604
2,1,922,0,358,657
2,2,0,0,389,630
3,0,406,46,501,603
3,1,922,0,358,655
3,2,0,0,388,628
4,0,404,45,502,603
4,1,921,0,359,656
4,2,0,0,380,626
5,0,404,43,501,604
5,1,919,0,361,653
5,2,0,0,385,626
6,0,402,42,453,603
6,1,920,0,360,651
6,2,0,0,383,624
7,0,400,41,454,602
7,1,919,0,361,619
7,2,0,0,381,623
8,0,399,40,453,602
8,1,916,0,364,649
8,2,0,0,373,622
9,0,397,38,500,602
9,1,913,0,367,648
9,2,0,0,376,621
10,0,395,37,453,602
10,1,914,0,366,615
10,2,0,0,370,620
11,0,393,37,500,601
11,1,911,0,369,647
11,2,0,0,367,619
12,0,390,36,453,601
12,1,909,0,371,644
12,2,0,0,365,618
13,0,389,35,501,601
13,1,1061,0,219,245
13,2,908,0,372,646
13,3,0,0,363,618
14,0,389,33,500,602
14,1,906,0,374,641
14,2,0,0,361,616
14,3,0,0,326,169
15,0,387,33,452,601
15,1,907,0,373,640
15,2,0,0,360,615
16,0,385,32,501,601
16,1,904,0,376,639
16,2,0,0,358,614
17,0,384,30,501,601
17,1,903,0,377,640
17,2,0,0,357,614
18,0,384,30,451,600
18,1,906,0,374,605
18,2,0,0,356,613
19,0,383,29,500,600
19,1,901,0,379,636
19,2,0,0,354,612
20,0,383,28,451,600
20,1,904,0,376,634
20,2,0,0,354,611
21,0,382,26,500,601
21,1,900,0,380,633
21,2,0,0,352,610
22,0,381,26,500,600
22,1,899,0,381,632
22,2,0,0,351,610
23,0,380,25,500,600
23,1,898,0,382,631
23,2,0,0,350,609
24,0,379,24,500,600
24,1,898,0,382,630
24,2,0,0,349,608
25,0,379,23,500,601
25,1,897,0,383,630
25,2,0,0,347,608
26,0,378,23,500,600
26,1,896,0,384,628
26,2,0,0,347,607
27,0,378,22,499,600
27,1,896,0,384,628
27,2,0,0,346,607
28,0,377,21,500,601
